"編號","基準地編號","土地標示","地價(元/m²)","面積(m²)","形狀及寬深比(m)","使用分區或編定用地","建蔽率(%)","容積率(%)","地上建物門牌","地上建物型態及建物名稱","較去年漲跌(%)","geometry"
"1","D01BA0002","臺南市東區竹篙厝段855-5地號","204000","82","長方形4.5:18.2","「住五」住宅區","60","210","臺南市東區崇學路273號","透天翰盈牙醫診所","0.45","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22577899756344,22.982671809386357],[120.22564244841796,22.982781912741963],[120.22566720001569,22.982812154747293],[120.22580600944445,22.982700939058528],[120.22577899756344,22.982671809386357]]]}"
"2","D01BA0007","臺南市東區新東段467-1地號","141000","87","長方形4.5:19.3","「住五」住宅區","60","210","臺南市東區裕豐街202號","透天建發文具店","0.43","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.2274820043871,22.987709987636592],[120.22728438259719,22.987746305110466],[120.22729177670008,22.9877867602372],[120.22747351043115,22.98775263367507],[120.2274820043871,22.987709987636592]]]}"
"3","D01BA0008","臺南市東區裕東段655-4地號","145000","105.88","長方形5.0:21.2","「虎住三」住宅區","50","160","臺南市東區裕平路50號","透天住家用","1.7","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.23994975818098,22.98475022710495],[120.23993903936291,22.984750229875882],[120.23989953871977,22.984750239078558],[120.23989957272373,22.984935900112937],[120.23994980200658,22.98493588818794],[120.23994975818098,22.98475022710495]]]}"
"4","D01BA0009","臺南市東區光明段934-20地號","195000","82","長方形4.2:19.5","「住五」住宅區","60","210","臺南市東區東安路83號","透天古丁原味品茶館","0.47","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22635146772156,22.99273067726319],[120.22617581688111,22.992764022067234],[120.22618431241212,22.992802022781156],[120.22636018670595,22.992769183846555],[120.22635146772156,22.99273067726319]]]}"
"5","D01BA0012","臺南市東區竹篙厝段3932-4地號","192000","83","長方形4.2:19.8","「住五」住宅區","60","210","臺南市東區崇德路518號","透天黃修傑中醫診所","0.63","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22740740612508,22.973301561904865],[120.22721984215765,22.973301758413474],[120.22721958975035,22.973340492192477],[120.22740725418738,22.973339615298475],[120.22740740612508,22.973301561904865]]]}"
"6","D01BA0013","臺南市東區竹篙厝段1578-1地號","197000","88","長方形4.3:20.4","「住五」住宅區","60","210","臺南市東區崇善路128號","透天李學院補習班","0.46","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22239171838707,22.98090919294543],[120.22235770332948,22.980932667955035],[120.22247553724527,22.98107923784476],[120.22250950389851,22.981055702974007],[120.22239171838707,22.98090919294543]]]}"
"7","D01BA0014","臺南市東區裕東段135-28地號","175000","92.4","長方形4.2:22.0","「虎住二(附)」住宅區","50","160","臺南市東區裕農路868之5號","透天宏昌旗魚庚","1.05","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.24204336608094,22.989247775835512],[120.24199978418137,22.989442294492697],[120.24203989663962,22.9894499995105],[120.24208347848493,22.98925548084099],[120.24206140058934,22.989251239400254],[120.24204336608094,22.989247775835512]]]}"
"8","D01BA0015","臺南市東區東光段364-3地號","183000","76","長方形4.2:18.0","「住五」住宅區","60","210","臺南市東區東光路二段19號","透天住家用","3.25","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.23135476543645,22.99577467018028],[120.23121549843594,22.995785904252866],[120.23118641252034,22.995788219298827],[120.23118986422662,22.995826846361496],[120.23135890305787,22.9958124074845],[120.23135476543645,22.99577467018028]]]}"
"9","D01BA0016","臺南市東區竹篙厝段3120-10地號","189000","90","長方形4.3:21.0","「住五」住宅區","60","210","臺南市東區崇善路438號","透天陳勃旭耳鼻喉科","0.81","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.22906619895572,22.973701369919226],[120.22905379087192,22.973737661527785],[120.22924964937575,22.973793627656235],[120.2292618160798,22.97375707117629],[120.22906619895572,22.973701369919226]]]}"
"10","D01BA0017","臺南市東區裕東段381-7地號","152000","108","長方形4.5:24.0","「虎住二」住宅區","50","160","臺南市東區裕信路165號","透天斐提斯美髮店","2.65","{""spatialReference"":{""wkid"":4326},""rings"":[[[120.24541253692674,22.985404691518802],[120.24517846076212,22.985405074819873],[120.24517853829505,22.98544570930595],[120.24541261550003,22.98544532691427],[120.24541253692674,22.985404691518802]]]}"
